,Temporada,Jornada,Partit,L,V,L-P,L-G,L-XP,L-XF,L-XT,L-PP,L-C,L-FJ,L-TG,L-TV,L-AS,L-XPA,L-L,L-S,L-F,L-PC,V-P,V-G,V-XP,V-XF,V-XT,V-PP,V-C,V-FJ,V-TG,V-TV,V-AS,V-XPA,V-L,V-S,V-F,V-PC
309,2018/2019,31,Betis/Villarreal,Betis,Villarreal,57%,2,7,10,17,3,4,1,2,0,1,0,1,3,13,0,43%,1,4,6,10,5,3,2,4,0,1,0,1,3,14,0
310,2018/2019,32,Espanyol/Alaves,Espanyol,Alaves,56%,2,2,4,6,2,4,4,3,0,1,0,1,3,12,0,44%,1,3,11,14,0,8,2,2,0,1,0,0,3,17,0
311,2018/2019,32,Huesca/Barcelona,Huesca,Barcelona,24%,0,1,5,6,2,6,3,1,0,0,0,0,3,15,0,76%,0,2,7,9,1,5,7,2,0,0,1,0,3,10,0
312,2018/2019,32,Atletico-Madrid/Celta,Atletico-Madrid,Celta,56%,2,5,5,10,3,1,2,2,0,1,0,0,3,8,0,44%,0,3,6,9,3,2,0,2,0,0,0,0,3,15,0
313,2018/2019,32,Sevilla/Betis,Sevilla,Betis,38%,3,5,6,11,5,5,4,6,0,3,0,0,3,17,0,62%,2,7,5,12,2,4,5,3,0,1,0,0,3,8,0
314,2018/2019,32,Valladolid/Getafe,Valladolid,Getafe,59%,2,4,4,8,1,5,5,4,0,1,0,1,3,22,0,41%,2,3,4,7,2,3,2,4,1,1,0,1,3,18,0
315,2018/2019,32,Athletic-Bilbao/Rayo-Vallecano,Athletic-Bilbao,Rayo-Vallecano,46%,3,9,6,15,4,3,3,1,0,1,1,2,3,9,0,54%,2,6,4,10,6,6,2,3,1,1,0,0,3,12,0
316,2018/2019,32,Real-Sociedad/Eibar,Real-Sociedad,Eibar,36%,1,2,0,2,1,0,6,2,0,1,0,0,3,15,0,64%,1,2,15,17,1,3,0,2,0,0,2,0,2,16,0
317,2018/2019,32,Girona-Fc/Villarreal,Girona-Fc,Villarreal,58%,0,4,8,12,5,7,2,2,0,0,0,0,3,11,0,42%,1,6,10,16,4,5,1,3,0,1,0,0,3,10,0
318,2018/2019,32,Valencia-Cf/Levante,Valencia-Cf,Levante,53%,3,6,16,22,2,8,0,2,0,2,1,1,3,11,0,47%,1,3,3,6,3,3,1,2,0,0,0,0,3,18,0
319,2018/2019,32,Leganes/Real-Madrid,Leganes,Real-Madrid,29%,1,2,3,5,5,1,3,0,0,1,0,0,3,11,0,71%,1,6,7,13,1,5,0,3,0,0,0,0,2,11,0
320,2018/2019,33,Alaves/Valladolid,Alaves,Valladolid,45%,2,3,6,9,5,5,1,3,0,0,0,2,2,17,0,55%,2,7,5,12,1,7,1,5,0,1,1,1,2,16,0
321,2018/2019,33,Celta/Girona-Fc,Celta,Girona-Fc,63%,2,8,5,13,0,5,2,2,0,2,0,0,3,7,0,37%,1,1,6,7,6,1,1,1,0,1,0,0,3,10,0
322,2018/2019,33,Eibar/Atletico-Madrid,Eibar,Atletico-Madrid,50%,0,2,7,9,3,5,1,3,0,0,0,0,3,10,0,50%,1,4,5,9,2,8,4,1,0,1,0,0,3,10,0
323,2018/2019,33,Rayo-Vallecano/Huesca,Rayo-Vallecano,Huesca,55%,0,3,13,16,2,8,3,4,0,0,1,0,2,11,0,45%,0,2,6,8,3,3,8,2,0,0,0,0,2,10,0
324,2018/2019,33,Barcelona/Real-Sociedad,Barcelona,Real-Sociedad,50%,2,4,7,11,1,4,6,0,0,2,0,0,3,10,0,50%,1,2,7,9,2,2,0,1,0,1,0,1,3,12,0
325,2018/2019,33,Levante/Espanyol,Levante,Espanyol,50%,2,5,14,19,5,12,2,4,1,2,0,0,3,13,0,50%,2,7,7,14,3,7,0,1,0,2,1,0,3,15,0
326,2018/2019,33,Getafe/Sevilla,Getafe,Sevilla,37%,3,3,6,9,2,2,1,3,1,0,0,0,3,15,0,63%,0,2,7,9,0,7,2,6,1,0,1,0,3,13,0
327,2018/2019,33,Real-Madrid/Athletic-Bilbao,Real-Madrid,Athletic-Bilbao,56%,3,4,6,10,3,8,1,2,0,3,0,0,3,12,0,44%,0,3,2,5,1,2,1,4,0,0,0,0,2,16,0
328,2018/2019,33,Villarreal/Leganes,Villarreal,Leganes,66%,2,5,6,11,1,7,4,2,0,1,0,0,3,11,0,34%,1,2,5,7,3,4,3,1,0,0,0,0,3,15,0
329,2018/2019,33,Betis/Valencia-Cf,Betis,Valencia-Cf,65%,1,4,13,17,1,5,0,4,0,0,1,0,3,18,0,35%,2,3,1,4,3,2,1,2,1,2,0,1,3,13,0
330,2018/2019,34,43542/Huesca/Eibar,43542,Huesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,2018/2019,34,Valladolid/Girona-Fc,Valladolid,Girona-Fc,50%,1,4,7,11,0,4,2,4,0,1,1,1,3,15,0,50%,0,0,5,5,3,4,0,3,0,0,0,0,3,17,0
332,2018/2019,34,Alaves/Barcelona,Alaves,Barcelona,23%,0,1,5,6,4,1,1,3,0,0,0,1,3,18,0,77%,2,6,11,17,1,4,1,1,0,1,1,0,3,9,0
333,2018/2019,34,Atletico-Madrid/Valencia-Cf,Atletico-Madrid,Valencia-Cf,57%,3,5,8,13,2,4,2,3,0,3,0,0,3,17,0,43%,2,4,7,11,2,3,0,2,0,1,0,0,1,11,0
334,2018/2019,34,Leganes/Athletic-Bilbao,Leganes,Athletic-Bilbao,57%,0,1,13,14,1,2,2,1,0,0,0,0,3,11,0,43%,1,2,1,3,1,2,0,2,0,0,0,1,3,14,0
335,2018/2019,34,Espanyol/Celta,Espanyol,Celta,48%,1,2,7,9,5,2,2,2,0,1,1,1,3,15,0,52%,1,6,11,17,1,4,2,1,0,1,1,0,3,7,0
336,2018/2019,34,Levante/Betis,Levante,Betis,29%,4,3,2,5,2,3,7,2,0,2,0,0,3,9,0,71%,0,2,5,7,0,4,1,3,0,0,0,0,3,15,0
337,2018/2019,34,Sevilla/Rayo-Vallecano,Sevilla,Rayo-Vallecano,48%,5,11,9,20,3,5,5,1,0,3,0,0,3,10,0,52%,0,3,10,13,6,4,2,2,0,0,0,0,3,12,0
338,2018/2019,34,Real-Sociedad/Villarreal,Real-Sociedad,Villarreal,64%,0,2,10,12,2,6,1,2,0,0,0,1,3,11,0,36%,1,3,5,8,2,3,1,3,0,1,0,0,3,13,0
339,2018/2019,34,Getafe/Real-Madrid,Getafe,Real-Madrid,31%,0,4,4,8,4,9,1,1,0,0,0,0,3,17,0,69%,0,4,8,12,4,4,2,3,0,0,0,0,3,14,0
340,2018/2019,35,Athletic-Bilbao/Alaves,Athletic-Bilbao,Alaves,62%,1,1,13,14,2,8,2,2,0,0,0,0,3,12,0,38%,1,3,11,14,0,5,0,2,0,0,1,0,3,16,0
341,2018/2019,35,Atletico-Madrid/Valladolid,Atletico-Madrid,Valladolid,59%,1,2,12,14,4,7,0,4,0,0,0,0,3,19,0,41%,0,4,8,12,1,3,0,2,0,0,0,0,3,11,0
342,2018/2019,35,Leganes/Celta,Leganes,Celta,47%,0,1,9,10,2,3,1,1,0,0,0,0,3,15,0,53%,0,2,6,8,1,6,1,0,0,0,0,0,2,4,0
343,2018/2019,35,Barcelona/Levante,Barcelona,Levante,62%,1,12,11,23,2,6,1,4,0,1,1,0,3,17,0,38%,0,2,5,7,11,2,0,3,0,0,1,0,3,12,0
344,2018/2019,35,Valencia-Cf/Eibar,Valencia-Cf,Eibar,48%,0,2,6,8,2,7,5,2,0,0,0,0,3,10,0,52%,1,3,10,13,2,6,1,3,0,0,0,0,3,15,0
345,2018/2019,35,Girona-Fc/Sevilla,Girona-Fc,Sevilla,43%,1,3,11,14,3,3,4,1,0,1,1,2,3,11,0,57%,0,3,3,6,2,6,0,2,1,0,0,1,3,14,0
346,2018/2019,35,Real-Sociedad/Getafe,Real-Sociedad,Getafe,49%,2,6,3,9,2,4,3,2,0,1,0,0,3,17,0,51%,1,3,10,13,4,7,1,3,0,0,0,0,3,14,0
347,2018/2019,35,Villarreal/Huesca,Villarreal,Huesca,47%,1,5,12,17,2,0,1,5,0,0,0,0,3,15,0,53%,1,3,10,13,4,1,3,2,1,1,0,1,3,21,0
348,2018/2019,35,Rayo-Vallecano/Real-Madrid,Rayo-Vallecano,Real-Madrid,49%,1,5,6,11,3,6,3,2,0,0,0,0,3,21,0,51%,0,3,6,9,4,6,6,5,0,0,0,0,3,5,0
349,2018/2019,35,Betis/Espanyol,Betis,Espanyol,53%,1,5,13,18,3,6,1,3,0,1,0,0,3,16,0,47%,1,4,6,10,4,5,2,1,0,1,0,1,3,14,0
350,2018/2019,36,Sevilla/Leganes,Sevilla,Leganes,64%,0,3,4,7,2,3,2,1,0,0,1,0,3,11,0,36%,3,5,4,9,3,4,3,1,0,2,0,0,3,22,0
351,2018/2019,36,Levante/Rayo-Vallecano,Levante,Rayo-Vallecano,34%,4,7,5,12,2,6,5,1,0,3,0,1,3,17,0,66%,1,3,17,20,3,7,0,4,1,1,0,0,3,12,0
352,2018/2019,36,Espanyol/Atletico-Madrid,Espanyol,Atletico-Madrid,49%,3,5,6,11,3,5,0,1,0,1,0,1,3,10,0,51%,0,3,8,11,2,6,2,2,0,0,0,0,3,14,0
353,2018/2019,36,Alaves/Real-Sociedad,Alaves,Real-Sociedad,50%,0,6,11,17,2,13,3,1,0,0,0,0,3,7,0,50%,1,3,6,9,6,6,2,3,0,0,0,0,3,19,0
354,2018/2019,36,Celta/Barcelona,Celta,Barcelona,35%,2,6,7,13,1,9,2,1,0,1,0,0,3,10,0,65%,0,1,7,8,4,1,1,5,0,0,0,2,3,13,0
355,2018/2019,36,Getafe/Girona-Fc,Getafe,Girona-Fc,39%,2,8,4,12,2,1,1,3,0,2,0,0,3,15,0,61%,0,2,2,4,6,3,2,3,1,0,0,0,3,13,0
356,2018/2019,36,Eibar/Betis,Eibar,Betis,45%,1,4,6,10,5,11,1,3,0,1,0,0,3,15,0,55%,0,5,5,10,3,8,3,2,0,0,1,0,3,6,0
357,2018/2019,36,Real-Madrid/Villarreal,Real-Madrid,Villarreal,59%,3,11,12,23,5,8,2,0,0,2,1,0,3,9,0,41%,2,7,7,14,8,3,3,3,0,2,0,0,3,14,0
358,2018/2019,36,Valladolid/Athletic-Bilbao,Valladolid,Athletic-Bilbao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,2018/2019,36,Huesca/Valencia-Cf,Huesca,Valencia-Cf,51%,2,4,20,24,1,7,0,1,0,0,1,0,3,10,0,49%,6,7,3,10,2,5,0,1,0,5,0,0,3,9,0
360,2018/2019,37,Athletic-Bilbao/Celta,Athletic-Bilbao,Celta,51%,3,5,4,9,1,3,1,4,0,1,0,0,3,16,0,49%,1,2,1,3,2,3,2,3,0,0,0,0,3,18,0
361,2018/2019,37,Atletico-Madrid/Sevilla,Atletico-Madrid,Sevilla,47%,1,3,7,10,3,5,7,4,0,1,0,0,2,16,0,53%,1,4,6,10,2,6,5,4,0,1,0,1,3,10,0
362,2018/2019,37,Barcelona/Getafe,Barcelona,Getafe,79%,2,8,5,13,0,4,1,1,0,0,0,1,3,9,0,21%,0,0,11,11,6,3,5,3,0,0,1,0,3,13,0
363,2018/2019,37,Betis/Huesca,Betis,Huesca,62%,2,8,9,17,1,9,1,2,0,2,0,0,3,13,0,38%,1,2,7,9,6,2,3,4,1,0,1,0,3,15,0
364,2018/2019,37,Girona-Fc/Levante,Girona-Fc,Levante,59%,1,6,8,14,0,9,2,2,0,0,0,0,3,14,0,41%,2,2,4,6,5,2,0,2,0,2,0,2,3,16,0
365,2018/2019,37,Rayo-Vallecano/Valladolid,Rayo-Vallecano,Valladolid,70%,1,5,11,16,3,4,3,2,0,1,0,1,3,13,0,30%,2,5,3,8,4,2,2,2,0,1,0,0,3,9,0
366,2018/2019,37,Valencia-Cf/Alaves,Valencia-Cf,Alaves,43%,3,4,5,9,2,7,3,2,0,2,0,0,3,9,0,57%,1,3,6,9,1,4,0,5,0,1,0,0,3,13,0
367,2018/2019,37,Villarreal/Eibar,Villarreal,Eibar,42%,1,3,8,11,0,5,6,3,0,0,0,0,3,11,0,58%,0,0,4,4,2,3,6,2,0,0,0,1,3,14,0
368,2018/2019,37,Leganes/Espanyol,Leganes,Espanyol,47%,0,4,7,11,5,6,2,3,1,0,0,0,3,11,0,53%,2,7,12,19,4,7,6,1,0,0,0,1,3,9,0
369,2018/2019,37,Real-Sociedad/Real-Madrid,Real-Sociedad,Real-Madrid,52%,3,7,12,19,1,5,3,1,0,2,2,0,3,12,0,48%,1,2,4,6,4,2,3,2,1,1,0,0,3,16,0
370,2018/2019,38,Levante/Atletico-Madrid,Levante,Atletico-Madrid,46%,2,7,9,16,6,6,0,0,0,1,1,1,3,9,0,54%,2,8,10,18,5,4,0,1,1,1,0,0,3,6,0
371,2018/2019,38,Espanyol/Real-Sociedad,Espanyol,Real-Sociedad,37%,2,4,5,9,2,4,3,3,0,2,1,0,3,12,0,63%,0,2,9,11,2,5,1,2,0,0,0,0,3,12,0
372,2018/2019,38,Getafe/Villarreal,Getafe,Villarreal,39%,2,5,12,17,2,6,6,2,0,2,0,0,3,16,0,61%,2,4,4,8,3,4,4,3,0,1,0,0,3,19,0
373,2018/2019,38,Sevilla/Athletic-Bilbao,Sevilla,Athletic-Bilbao,46%,0,4,11,15,3,8,3,1,0,0,0,1,3,8,0,54%,1,4,7,11,4,5,3,0,0,1,0,0,3,11,0
374,2018/2019,38,Valladolid/Valencia-Cf,Valladolid,Valencia-Cf,49%,0,3,13,16,4,7,1,1,0,0,2,0,3,12,0,51%,2,6,1,7,3,2,3,3,0,2,0,0,3,10,0
375,2018/2019,38,Alaves/Girona-Fc,Alaves,Girona-Fc,44%,2,7,7,14,3,6,1,3,0,1,0,0,3,13,0,56%,1,4,9,13,5,4,4,3,0,1,1,1,3,10,0
376,2018/2019,38,Celta/Rayo-Vallecano,Celta,Rayo-Vallecano,44%,2,5,9,14,2,3,1,0,0,1,0,0,3,15,0,56%,2,4,7,11,3,5,2,4,0,1,0,0,3,20,0
377,2018/2019,38,Huesca/Leganes,Huesca,Leganes,50%,2,5,9,14,0,4,1,0,0,2,0,1,3,17,0,50%,1,1,8,9,3,5,2,1,0,0,0,2,3,10,0
378,2018/2019,38,Real-Madrid/Betis,Real-Madrid,Betis,48%,0,2,6,8,5,1,1,4,0,0,1,0,3,17,0,52%,2,7,2,9,2,5,4,1,0,2,0,0,3,11,0
379,2018/2019,38,Eibar/Barcelona,Eibar,Barcelona,37%,2,8,7,15,1,5,0,4,0,1,0,0,3,10,0,63%,2,3,3,6,6,2,6,2,0,2,0,0,3,3,0
